name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index,predicted,uncertainty
"單光耀 |
 陳光燿","? |
 曉嵐","江西省 |
 福建省","吉安府 安福縣 |
 按察司衙門 ?","蘿塘司巡檢 |
 莆田場大使","監生 |
 監生","山隂 浙江 |
 山陰 浙江",0,"1860.25 |
 1860.5",2269849,0.4,0.6730116670072565
"丁爾涣 |
 丁爾煥","? |
 ?","河南省 |
 河南省","彰德府 安陽縣 |
 懷慶府 河內縣","管河縣丞 |
 粮河水利縣丞","監生 |
 監生","宛平 順天 |
 宛平 順天",1,"1857.5 |
 1857.75",1221373,0.48,0.6923469670879616
"呉鼎元 |
 吳鼎元","? |
 ?","甘肅省 |
 甘肅省","慶陽府 合水縣 |
 凉州府 平番縣","知州銜知縣 |
 知縣","? |
 舉人","秀山 四川 |
 秀山 四川",1,"1860.75 |
 1862.25",2159252,0.72,0.5929533174454745
"李應麟 |
 李慶麟","? |
 ?","江蘇省 |
 江蘇省","總河部院衙門 ? |
 揚州府 高郵州","阜寕海南巡檢 |
 界首司巡檢","監生 |
 監生","仁和 浙江 |
 仁和 浙江",1,"1854.75 |
 1855.0",357624,0.56,0.6859298002503729
"張錫榮 |
 張錫嶸","? |
 ?","陝西省 |
 雲南省","同州府 蒲城縣 |
 ? ?","典史 |
 欽命翰林院编修提督雲南全省學政","吏員 |
 ?","善化 湖南 |
 靈璧 安徽",0,"1860.75 |
 1862.25",2152939,0.32,0.6268694575704263
"周學濬 |
 周學源","? |
 ?","京師 |
 京師","翰林院衙門 翰林院編修 |
 翰林院衙門 翰林院庶吉士","? |
 ?","進士 |
 ?","烏程 浙江 |
 烏程 浙江",0,"1851.75 |
 1852.75",484366,0.36,0.6534181947917017
"孔衍福 |
 孔衍祚","? |
 ?","山東省 |
 山東省","兖州府 曲阜縣 |
 兖州府 曲阜縣","八品執事官 |
 九品執事官","? |
 ?","? ? |
 ? ?",0,"1852.75 |
 1854.0",62272,0.24,0.5510799280849727
"李應棠 |
 李應棠","萼樓 |
 ?","安徽省 |
 廣東省","池州府 ? |
 瓊州府 文昌縣","知府 |
 復設敎諭","監生 |
 副榜","南海 廣東 |
 廣州 ?",0,"1856.75 |
 1857.0",907358,0.32,0.6268694575704263
"沈錫祺 |
 沈錫祺","? |
 ?","四川省 |
 山東省","雅州府 ? |
 濟甯州 ?","經厯 |
 州同兼管水利事","供事 |
 舉人","昌平 順天 |
 大興 順天",0,"1858.75 |
 1859.25",1639900,0.4,0.6730116670072565
"王鴻綸 |
 王鴻綬","? |
 ?","江南省 |
 江南省","總漕部院衙門 山東衛所 |
 總漕部院衙門 山東衛所","前左帮領運千總 |
 領運千總","監生 |
 監生","? 直隸 |
 ? 直隸",0,"1857.5 |
 1857.75",1185946,0.36,0.6534181947917017
