name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index,predicted,uncertainty
"向璿 |
 向璿","? |
 ?","四川省 |
 四川省","順慶府 蓬州 |
 順慶府 蓬州","學正 |
 學正","舉人 |
 擧人","綏定 ? |
 綏定府 ?",1,"1855.5 |
 1855.75",272058,0.48,0.6923469670879616
"龐玉衡 |
 龎玉衡","? |
 ?","廣西省 |
 廣西省","泗城府 ? |
 泗城府 ?","敎授 |
 敎授","擧人 |
 舉人","潯州府 ? |
 潯州 ?",1,"1854.75 |
 1855.0",466758,0.44,0.6859298002503729
"孔昭榮 |
 孔昭遠","? |
 ?","山東省 |
 山東省","兖州府 至聖廟官 |
 兖州府 至聖廟官","九品執事官 |
 五品執事官","? |
 ?","? ? |
 ? ?",0,"1864.0 |
 1864.0",1778555,0.52,0.6923469670879616
"秦湛霖 |
 杜雲漢","? |
 ?","四川省 |
 四川省","順慶府 儀隴縣 |
 順慶府 儀隴縣","典史 |
 知縣","吏員 |
 舉人","迪化 甘肅 |
 武淸 順天",0,"1857.5 |
 1857.5",1279763,0.52,0.6923469670879616
"王鳴鳯 |
 王鳴鳯","? |
 ?","四川省 |
 四川省","順慶府 廣安州 |
 順慶府 廣安州","學正 |
 學正","舉人 |
 擧人","叙州 ? |
 叙州府 ?",1,"1855.5 |
 1855.75",272263,0.48,0.6923469670879616
"王鴻綬 |
 王鴻綸","? |
 建猷","江南省 |
 江蘇省","總漕部院衙門 山東衛所 |
 總漕部院衙門 山東衛所","領運千總 |
 左帮領運千總","監生 |
 監生","? 直隸 |
 ? 直隸",0,"1856.0 |
 1856.75",1020624,0.56,0.6859298002503729
"蕭浚蘭 |
 蕭浚蘭","? |
 ?","京師 |
 京師","都察院衙門 江南道 |
 都察院衙門 工科","掌江南道監察御史 |
 給事中","? |
 進士","髙安 江西 |
 高安 江西",1,"1856.75 |
 1857.5",871765,0.48,0.6923469670879616
"王兆鏞 |
 王詠","? |
 ?","京師 |
 京師","太醫院衙門 九品吏目 |
 太醫院衙門 九品吏目","空白 |
 空白","? |
 ?","江都 江蘇 |
 宛平 順天",0,"1864.0 |
 1864.0",1697223,0.52,0.6923469670879616
"李寳儀 |
 李鴻裔","紫亭 |
 眉生","京師 |
 京師","兵部衙門 額外司員 |
 兵部衙門 額外司員","主事 |
 主事武選司行走","副榜 |
 ?","香山 廣東 |
 中江 四川",0,"1860.75 |
 1861.25",2034067,0.52,0.6923469670879616
"李崇蟠 |
 李崇蟠","? |
 ?","山西省 |
 山西省","太原府 榆次縣 |
 太原府 榆次縣","知縣 |
 知縣","拔貢 |
 拔貢","歴城 山東 |
 濟寕州 山東",1,"1851.75 |
 1852.75",550134,0.56,0.6859298002503729
