name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index,predicted,uncertainty
"舒瑞濟 |
 舒瑞淸","? |
 ?","京師 |
 京師","內閣衙門 額外中書 |
 內閣衙門 額外中書","空白 |
 空白","貢生 |
 貢生","德興 江西 |
 德興 江西",1,"1858.75 |
 1859.5",1491235,0.8,0.5004024235361879
"蔡鑑泉 |
 蔡鏡泉","? |
 ?","甘肅省 |
 京師","甘州府 ? |
 戶部衙門 倉場總督衙門","撫彜通判 |
 舊太倉監督刑部員外郎","舉人 |
 舉人","順德 廣東 |
 順德 廣東",0,"1856.0 |
 1856.0",1071059,0.56,0.6859298002503729
"孫淮 |
 孫淮","? |
 ?","河南省 |
 江南省","衛輝府 獲嘉縣 |
 總漕部院衙門 江南衛所","典史 |
 領運千總","監生 |
 監生","大興 順天 |
 ? 順天",0,"1857.5 |
 1857.75",1222212,0.28,0.5929533174454745
"羅建吉 |
 羅迪吉","? |
 ?","江西省 |
 江西省","甯都直隸州 瑞金縣 |
 甯都州 瑞金縣","復設教諭 |
 復設教諭","舉人 |
 舉人","瑞洲府 ? |
 瑞洲 ?",1,"1857.5 |
 1858.75",1262615,0.64,0.6534181947917017
"曹炳賡 |
 曹炳燮","銀香 |
 銀香","京師 |
 京師","工部衙門 額外司員 |
 工部衙門 額外司員","主事 |
 主事？？司行走","? |
 ?","宜興 江蘇 |
 宜興 江蘇",1,"1858.75 |
 1859.25",1508734,0.76,0.5510799280849727
"張虎臣 |
 王虎臣","? |
 ?","京師 |
 京師","鑾儀衛衙門 御前侍衛 |
 鑾儀衛衙門 御前侍衛","二等侍衛 |
 二等侍衛","榜眼 |
 榜眼","沙河 直隷 |
 河曲 山西",0,"1852.75 |
 1854.75",29744,0.24,0.5510799280849727
"沙葆元 |
 沙葆先","? |
 ?","京師 |
 京師","太醫院衙門 從九品吏目 |
 太醫院衙門 從九品吏目","空白 |
 空白","? |
 ?","大興 順天 |
 大興 順天",1,"1859.5 |
 1860.25",1340774,0.8,0.5004024235361879
"姜福源 |
 姜福源","? |
 ?","湖北省 |
 湖北省","布政司衙門 ? |
 布政司衙門 ?","廣儲庫大使 |
 廣備庫大使","附監 |
 監生","大興 順天 |
 上元 江蘇",1,"1855.5 |
 1856.0",214936,0.36,0.6534181947917017
"董逹寛 |
 董遠寛","? |
 ?","京師 |
 京師","太常寺衙門 司樂 |
 太常寺衙門 司樂","? |
 空白","? |
 ?","大興 ? |
 大興 ?",1,"1854.75 |
 1855.0",327643,0.72,0.5929533174454745
"曾國藩 |
 曾國荃","? |
 ?","江蘇省 |
 江蘇省","? ? |
 布政司衙門 ?","協辦大學士兵部尚書兼都察院右都御史總督兩江等處地方提督軍務粮餉操江南河管理兩淮塩漕事務 |
 江南蘇松常鎮太倉等處承宣布政使司布政使","? |
 軍功","湘鄉 湖南 |
 湘郷 湖南",0,"1862.25 |
 1863.0",1889648,0.64,0.6534181947917017
"鮑均 |
 鮑均","甫田 |
 ?","雲南省 |
 雲南省","昭通府 鎭雄州 |
 昭通府 鎭雄州","母亨巡検 |
 毋亨巡検","監生 |
 監生","婺源 安徽 |
 通州 順天",1,"1850.5 |
 1851.75",846530,0.52,0.6923469670879616
"徐淳 |
 徐淳","? |
 ?","四川省 |
 四川省","順慶府 西充縣 |
 成都府 ?","知縣 |
 司獄","監生 |
 監生","大興 順天 |
 開泰 貴州",0,"1860.25 |
 1860.5",2346108,0.36,0.6534181947917017
"馮龍芝 |
 馮樸","? |
 ?","江蘇省 |
 江蘇省","太倉州 寶山縣 |
 太倉州 嘉定縣","典史 |
 縣丞駐南翔鎮","吏員 |
 監生","山陰 浙江 |
 山隂 浙江",0,"1864.0 |
 1864.0",1715773,0.2,0.5004024235361879
"潘振業 |
 潘振業","? |
 丕續","山西省 |
 山西省","汾州府 平遥縣 |
 汾州府 平遥縣","復設敎諭 |
 復設敎諭","附貢 |
 廪貢","太原 ? |
 文水 ?",1,"1851.75 |
 1852.75",555167,0.6,0.6730116670072565
"鄭瓊詔 |
 鄭瓊詔","? |
 ?","四川省 |
 京師","? ? |
 翰林院衙門 侍讀","欽命翰林院侍讀提督四川全省學政 |
 日講起居注官翰林院侍讀","進士 |
 ?","閩縣 福建 |
 侯官 福建",1,"1857.5 |
 1858.75",1275852,0.48,0.6923469670879616
"王鏞 |
 王墉","? |
 ?","福建省 |
 廣西省","按察司衙門 ? |
 桂林府 臨桂縣","莆田場大使 |
 典史","監生 |
 供事","山隂 浙江 |
 山隂 浙江",0,"1854.75 |
 1855.5",383971,0.76,0.5510799280849727
"馬文夢 |
 馬文夢","? |
 ?","京師 |
 安徽省","翰林院衙門 翰林院庶吉士 |
 甯國府 涇縣","空白 |
 知縣","? |
 ?","涇陽 陝西 |
 經陽 陝西",1,"1859.5 |
 1860.25",1317420,0.76,0.5510799280849727
"桂載萬 |
 桂青萬","? |
 ?","安徽省 |
 安徽省","太平府 ? |
 寕國府 宣城縣","復設訓導 |
 復設訓導","廪貢 |
 嵗貢","池州 ? |
 池州 ?",0,"1850.5 |
 1851.75",724010,0.52,0.6923469670879616
"范先敘 |
 范先秩","? |
 ?","直隸省 |
 直隸省","宣化府 西甯縣 |
 宣化府 龍門縣","教諭 |
 教諭","舉人 |
 擧人","順天府 ? |
 ? 順天",0,"1856.0 |
 1856.75",1014607,0.2,0.5004024235361879
"唐沂 |
 湯頤","? |
 ?","江蘇省 |
 江蘇省","江寕府 句容縣 |
 江寕府 上元縣","教諭 |
 教諭","擧人 |
 擧人","揚州 ? |
 揚州 ?",0,"1856.75 |
 1856.75",893585,0.2,0.5004024235361879
"王棨 |
 王圻","? |
 ?","河南省 |
 河南省","許州直隸州 襄城縣 |
 汝州 伊陽縣","復設教諭 |
 復設教諭","舉人 |
 舉人","懐慶府 ? |
 彰德 ?",0,"1856.0 |
 1856.25",1054202,0.28,0.5929533174454745
"？？？ |
 ？？？","? |
 ?","河南省 |
 京師","南陽府 南召縣 |
 刑部衙門 額外司員","復設教諭 |
 ？？？？？？？？","？？ |
 ？？","？？ ? |
 ？？ ？？",0,"1859.5 |
 1859.5",1417801,0.2,0.5004024235361879
"李際昌 |
 李際昌","? |
 ?","直隸省 |
 直隸省","順德府 任縣 |
 順德府 任縣","知縣 |
 知縣","進士 |
 監生","靈州 廣西 |
 詔安 福建",1,"1857.5 |
 1858.75",1177778,0.52,0.6923469670879616
"陳元之 |
 陳宣之","? |
 ?","廣西省 |
 廣東省","思恩府 上林縣 |
 廣州府 南海縣","周安鎭巡檢 |
 縣丞兼管水利","監生 |
 監生","江夏 湖北 |
 江夏 湖北",0,"1850.5 |
 1851.25",834962,0.36,0.6534181947917017
"王慶祺 |
 王恩祺","? |
 ?","廣東省 |
 廣東省","塩務衙門 ? |
 高州府 信宜縣","大洲場大使 |
 懐鄕巡檢","監生 |
 監生","山陰 浙江 |
 山陰 浙江",0,"1864.0 |
 1864.0",1815368,0.44,0.6859298002503729
"杜翰 |
 杜（喬+羽）","? |
 ?","京師 |
 京師","工部衙門 ? |
 禮部衙門 ?","左侍郎 |
 右侍郎","? |
 ?","濱州 山東 |
 濱州 山東",0,"1854.75 |
 1855.5",323818,0.48,0.6923469670879616
"王鴻晋 |
 王鳴縉","? |
 ?","江蘇省 |
 江蘇省","總漕部院衙門 江南衛所 |
 總漕部院衙門 江南衛所","池州帮領運千總 |
 池州帮領運千總","監生 |
 監生","? 直隸 |
 ? 直隸",1,"1862.25 |
 1864.0",1896040,0.76,0.5510799280849727
"江煦和 |
 江煦和","? |
 ?","廣東省 |
 貴州省","潮州府 海陽縣 |
 安順府 安平縣","敎諭 |
 知縣","廪貢 |
 廪貢","高州 ? |
 高州 廣東",1,"1862.25 |
 1864.0",1998017,0.84,0.439669879399343
"淩長齡 |
 葉長齡","? |
 震帆","江蘇省 |
 江蘇省","總漕部院衙門 江南衛所 |
 總漕部院衙門 江南衛所","五帮領運千總 |
 領運千總","監生 |
 附監","? 浙江 |
 嘉興 浙江",0,"1862.25 |
 1864.0",1894939,0.64,0.6534181947917017
"岳雲溪 |
 岳玉溪","? |
 ?","山西省 |
 山西省","平陽府 襄陵縣 |
 蒲州府 永濟縣","知縣 |
 知縣","附貢 |
 附貢","利津 山東 |
 利津 山東",0,"1860.75 |
 1860.75",2144588,0.52,0.6923469670879616
"邵仲曾 |
 邵鼎曾","? |
 ?","江蘇省 |
 江蘇省","江寕布政司衙門 ? |
 松江府 婁縣","理問 |
 縣丞駐白龍潭","監生 |
 監生","會稽 浙江 |
 會稽 浙江",0,"1856.75 |
 1857.0",893127,0.6,0.6730116670072565
"鄭箋 |
 鄭金鑑","? |
 ?","湖南省 |
 河南省","岳州府 華容縣 |
 布政司衙门 ?","典史 |
 日盈庫大使","監生 |
 監生","大興 順天 |
 大興 順天",0,"1856.0 |
 1856.75",1103473,0.8,0.5004024235361879
"蔣淸驥 |
 孫淸驥","? |
 ?","直隸省 |
 直隸省","易州 淶水縣 |
 易州 淶水縣","典史 |
 典史","監生 |
 監生","長洲 江蘇 |
 長洲 江蘇",1,"1860.25 |
 1860.5",2237545,0.6,0.6730116670072565
"惲桂孫 |
 陳桂孫","? |
 ?","京師 |
 京師","兵部衙門 司務廰 |
 會場總督衙門 倉差","司務 |
 兵部司務","監生 |
 監生","陽湖 江蘇 |
 陽湖 江蘇",1,"1860.75 |
 1862.25",2033193,0.28,0.5929533174454745
"鄒澤杰 |
 鄒嶧杰","? |
 ?","廣西省 |
 廣西省","太平府 ? |
 泗城府 ?","理士督捕巡檢 |
 知府","? |
 ?","廣順州 貴州 |
 廣順州 貴州",0,"1852.75 |
 1854.0",118313,0.32,0.6268694575704263
"黄祖綸 |
 黄祖絡","次農 |
 幼農","京師 |
 京師","工部衙門 額外司員 |
 戶部衙門 額外司員","主事都水司行走 |
 主事廣東司兼浙江司行走","廕生 |
 廪貢","盧陵 江西 |
 廬陵 江西",0,"1860.75 |
 1862.25",2041361,0.4,0.6730116670072565
"張？新 |
 張更新","? |
 ?","江西省 |
 江西省","南康府 星子縣 |
 南康府 星子縣","青山司巡檢 |
 青山司巡檢","職員 |
 挨貢","歴城 山東 |
 聊城 山東",1,"1856.75 |
 1857.5",913372,0.76,0.5510799280849727
"孔傳章 |
 孔傳豊","? |
 捦也","山東省 |
 山東省","兖州府 曲阜縣 |
 兖州府 曲阜縣","九品執事官 |
 九品執事官","? |
 ?","? ? |
 ? ?",0,"1854.75 |
 1855.5",417591,0.24,0.5510799280849727
"陳駿 |
 陳寯","? |
 ?","京師 |
 京師","刑部衙門 額外司員 |
 内閣衙門 侍讀","主事 |
 侍讀","? |
 ?","天津 直隸 |
 安州 直隸",0,"1855.5 |
 1855.75",147134,0.24,0.5510799280849727
"石式金 |
 呉式金","? |
 ?","直隸省 |
 直隸省","河間府 ? |
 順天府 遵化州","復設訓導 |
 復設訓導","廪貢 |
 廪貢","深州 ? |
 ? 順天",0,"1856.0 |
 1856.75",1007790,0.28,0.5929533174454745
"江勳和 |
 江煦和","? |
 ?","廣東省 |
 廣東省","廣州府 龍門縣 |
 潮州府 海陽縣","復設教諭 |
 教諭","附貢 |
 廪貢","高州 ? |
 高州 ?",0,"1859.5 |
 1859.5",1463360,0.36,0.6534181947917017
"朱慶森 |
 朱森","? |
 ?","京師 |
 京師","都察院衙門 中城兵馬司 |
 都察院衙門 中城兵馬司","特授副指揮 |
 揀發正指揮","監生 |
 監生","會稽 浙江 |
 山隂 浙江",0,"1858.75 |
 1859.25",1510419,0.2,0.5004024235361879
"周壬林 |
 周壬林","? |
 ?","湖北省 |
 江南省","鄖陽府 ? |
 總河部院衙門 ?","淸軍粮捕通判 |
 桃源三義巡檢","監生 |
 監生","銭塘 浙江 |
 ? 浙江",1,"1857.5 |
 1857.75",1266103,0.76,0.5510799280849727
"呉存義 |
 呉存義","? |
 ?","雲南省 |
 京師","? ? |
 翰林院衙門 侍講","欽命翰林院侍講提督雲南全省學政 |
 日講起居注官翰林院侍講雲南學政","進士 |
 進士","泰興 江蘇 |
 興縣 江蘇",1,"1856.0 |
 1856.0",1134512,0.68,0.6268694575704263
"王之翰 |
 王之幹","? |
 竹筠","京師 |
 京師","兵部衙門 額外司員 |
 兵部衙門 額外司員","郎中 |
 郎中武選司行走","擧人 |
 ?","徐溝 山西 |
 徐溝 山西",1,"1854.75 |
 1854.75",318770,0.68,0.6268694575704263
"劉書年 |
 劉書年","? |
 ?","京師 |
 貴州省","翰林院衙門 翰林院編修 |
 安順府 ?","浙江副主考 |
 知府","? |
 ?","獻縣 直隷 |
 献縣 直隷",1,"1852.75 |
 1854.75",3887,0.8,0.5004024235361879
"章文炯 |
 曾文炯","? |
 ?","直隸省 |
 山西省","大名府 開州 |
 太原府 文水縣","吏目 |
 知縣","監生 |
 舉人","會稽 浙江 |
 會稽 浙江",0,"1859.5 |
 1860.25",1355226,0.2,0.5004024235361879
"曹澍鋐 |
 曹澍鍾","玉生 |
 穎生","直隸省 |
 廣西省","天津府 天津縣 |
 ? ?","補用州判海河主簿 |
 頭品頂戴兵部侍郎兼都察院右副都御史巡撫廣西等處地方提督軍務節制通省兵馬粮餉","議叙 |
 ?","江夏 湖北 |
 江夏 湖北",0,"1859.5 |
 1859.5",1350218,0.4,0.6730116670072565
"呉存義 |
 呉存義","? |
 和甫","京師 |
 京師","翰林院衙門 侍講學士 |
 翰林院衙門 侍讀學士","日講起居注官翰林院侍講學士 |
 日講起居注官翰林院侍讀學士南書房","? |
 ?","泰興 江蘇 |
 休甯 安徽",1,"1859.5 |
 1860.25",1315268,0.2,0.5004024235361879
"何桂芬 |
 馮桂芬","? |
 ?","京師 |
 京師","都察院衙門 浙江道 |
 詹事府衙門 ?","掌浙江道監察御史 |
 右春坊右中允廣西學政","進士 |
 進士","上元 江蘇 |
 呉縣 江蘇",0,"1857.5 |
 1857.75",1162193,0.2,0.5004024235361879
"陳鯤 |
 陳鵾","? |
 ?","廣西省 |
 廣東省","鬱林州 博白縣 |
 亷州府 合浦縣","沙河寨巡検 |
 珠場司巡検","監生 |
 監生","連城 福建 |
 連城 福建",1,"1850.5 |
 1851.25",836890,0.56,0.6859298002503729
"周洛 |
 周洛","錦亭 |
 ?","山西省 |
 山西省","太原府 祁縣 |
 潞安府 長治縣","典史 |
 縣丞駐西大鎭","監生 |
 監生","山隂 浙江 |
 會稽 浙江",0,"1852.75 |
 1852.75",71233,0.72,0.5929533174454745
"王鏞 |
 諸鏞","? |
 ?","福建省 |
 福建省","按察司衙門 ? |
 福州府 閩縣","福興場大使 |
 五虎門巡檢","監生 |
 監生","山隂 浙江 |
 銭塘 浙江",0,"1855.5 |
 1855.5",207835,0.44,0.6859298002503729
"曾會成 |
 曹會成","? |
 ?","京師 |
 京師","吏部衙門 額外司員 |
 吏部衙門 額外司員","主事 |
 主事","? |
 ?","錦州 奉天 |
 錦州 奉天",1,"1858.75 |
 1859.5",1496631,0.76,0.5510799280849727
"狄豫 |
 狄尹","? |
 ?","江蘇省 |
 江蘇省","常州府 金匱縣 |
 常州府 宜興縣","復設訓導 |
 教諭","附貢 |
 舉人","鎮江 ? |
 鎮江 ?",0,"1859.5 |
 1860.25",1359415,0.4,0.6730116670072565
"譚克庸 |
 譚克鏞","少農 |
 少農","貴州省 |
 貴州省","黎平府 開泰縣 |
 黎平府 開泰縣","縣丞駐朗洞 |
 縣丞駐朗洞","議叙 |
 議叙","盧州 四川 |
 山隂 浙江",1,"1859.5 |
 1860.25",1487076,0.8,0.5004024235361879
"張欽節 |
 張欽師","? |
 ?","直隸省 |
 直隸省","永平府 滦州 |
 永平府 滦州","復設訓導 |
 復設訓導","拔貢 |
 拔貢","保定 ? |
 保定 ?",1,"1859.5 |
 1859.75",1348641,0.52,0.6923469670879616
"李福厚 |
 李福厚","? |
 載？","京師 |
 京師","兵部衙門 各省塘務 |
 兵部衙門 各省駐京提塘","江南提塘 |
 江南提塘","? |
 雲騎尉","? 江南 |
 句容 江蘇",1,"1851.75 |
 1852.75",491943,0.84,0.439669879399343
