name,zihao,diqu,jigou,guanzhi,chushen,rensheng&xian,oracle,year,index,predicted,uncertainty
"張黻榮 |
 張黼榮","? |
 斧文","浙江省 |
 直隸省","衢州府 龍游縣 |
 冀州 武邑縣","縣丞 |
 知縣","監生 |
 ?","平定 山西 |
 平定州 山西",,"1860.75 |
 1860.75",2098495,0.24,0.5510799280849727
"錢佩印 |
 錢志印","? |
 ?","福建省 |
 福建省","永春直隸州 ? |
 龍巖州 ?","吏目 |
 吏目","監生 |
 監生","上虞 浙江 |
 上虞 浙江",,"1862.25 |
 1863.0",1929242,0.4,0.6730116670072565
"盧志超 |
 盧志起","? |
 ?","貴州省 |
 貴州省","興義府 普安縣 |
 興義府 普安縣","復設敎諭 |
 復設敎諭","擧人 |
 擧人","石阡府 ? |
 石阡府 ?",,"1851.75 |
 1852.75",606279,0.88,0.36692499127070966
"呉其燕 |
 呉燕賓","? |
 ?","貴州省 |
 貴州省","興義府 普安縣 |
 興義府 普安縣","典史 |
 典史","監生 |
 監生","南豊 江西 |
 南豊 江西",,"1858.75 |
 1859.5",1667384,0.72,0.5929533174454745
"孔傅瑧 |
 孔傳臻","? |
 ?","山東省 |
 山東省","兖州府 曲阜縣 |
 兖州府 曲阜縣","七品執事官 |
 七品執事官","? |
 ?","? ? |
 ? ?",,"1859.5 |
 1859.75",1424156,0.2,0.5004024235361879
"戴長庚 |
 戴長庚","? |
 ?","甘肅省 |
 四川省","安西州 敦煌縣 |
 綿州 安縣","典史 |
 典史","吏員 |
 監生","宛平 順天 |
 太湖 安徽",,"1862.25 |
 1863.0",1982710,0.08,0.2787693717665874
"陳秉樞 |
 陸秉樞","? |
 ?","京師 |
 京師","都察院衙門 中城察院 |
 都察院衙門 工科","巡視中城工科給事中 |
 給事中","? |
 ?","桐鄕 浙江 |
 甯鄕 浙江",,"1858.75 |
 1859.25",1510336,0.96,0.16794414773217306
"茅勝遠 |
 茅騰遠","鵉友 |
 鵉友","盛京 |
 盛京","奉天府 承德縣 |
 奉天府 承德縣","典史 |
 典史","議叙 |
 議敘","丹徒 江蘇 |
 通州 順天",,"1860.75 |
 1862.25",2052560,0.96,0.16794414773217306
"王之翰 |
 王之幹","? |
 竹筠","京師 |
 京師","兵部衙門 額外司員 |
 兵部衙門 額外司員","郎中 |
 郎中武選司行走","擧人 |
 ?","徐溝 山西 |
 徐溝 山西",,"1856.75 |
 1857.0",864115,0.88,0.36692499127070966
"呉存義 |
 呉存義","? |
 邦甫","雲南省 |
 京師","? ? |
 翰林院衙門 侍讀","欽命翰林院侍講提督雲南全省學政 |
 日講起居注官翰林院侍讀","進士 |
 ?","泰興 江蘇 |
 休甯 安徽",,"1857.5 |
 1858.75",1302594,0.72,0.5929533174454745
"王祖培 |
 王祖培","? |
 嘨舲","四川省 |
 京師","寕遠府 西昌縣 |
 翰林院衙門 翰林院編修","德昌所巡檢 |
 ?","供事 |
 ?","大興 順天 |
 寳坻 順天",,"1852.75 |
 1854.0",93088,0.2,0.5004024235361879
"張繼祖 |
 章繼祖","? |
 ?","河南省 |
 河南省","光州 商城縣 |
 河南府 宜陽縣","典史 |
 典史","監生 |
 監生","大興 順天 |
 大興 順天",,"1860.75 |
 1862.25",2129631,0.72,0.5929533174454745
"李振聲 |
 李振聲","? |
 ?","江南省 |
 江蘇省","總漕部院衙門 山東衛所 |
 總漕部院衙門 江南衛所","領運千總 |
 蘇州帮領運千總","武生 |
 監生","? 順天 |
 ? 江蘇",,"1857.5 |
 1858.75",1186267,0.88,0.36692499127070966
"龔自閬 |
 龔自闓","? |
 ?","京師 |
 京師","内閣衙門 漠票韱中書舍人 |
 內閣衙門 漢票籖中書舍人","? |
 空白","? |
 ?","仁和 浙江 |
 仁和 浙江",,"1856.75 |
 1857.0",852610,0.56,0.6859298002503729
"張明之 |
 張明","? |
 ?","雲南省 |
 雲南省","曲靖府 霑益州 |
 曲靖府 霑益州","學正 |
 學正","舉人 |
 舉人","雲南 ? |
 ? 雲南",,"1860.75 |
 1861.25",2193262,0.72,0.5929533174454745
"王墉 |
 王鏞","? |
 ?","廣西省 |
 福建省","桂林府 臨桂縣 |
 按察司衙門 ?","典史 |
 福興場大使","供事 |
 監生","山隂 浙江 |
 山隂 浙江",,"1857.5 |
 1858.75",1296278,0.08,0.2787693717665874
"趙慶齢 |
 趙慶齢","? |
 ?","江南省 |
 湖北省","徐州府 銅山縣 |
 德安府 應城縣","復設訓導 |
 知縣","舉人 |
 舉人","江甯府 ? |
 江甯 江蘇",,"1857.5 |
 1858.75",1192147,0.88,0.36692499127070966
"桂青萬 |
 桂載萬","? |
 ?","安徽省 |
 安徽省","寕國府 宣城縣 |
 太平府 ?","復設訓導 |
 復設訓導","嵗貢 |
 廪貢","池州 ? |
 池州 ?",,"1851.75 |
 1852.5",532431,0.12,0.36692499127070966
"王鳯池 |
 毛鳯池","? |
 ?","湖北省 |
 湖北省","按察司衙門 ? |
 按察司衙門 ?","經厯 |
 經厯","監生 |
 供事","上元 江蘇 |
 上元 江蘇",,"1858.75 |
 1859.25",1575533,0.92,0.27876937176658734
"劉傅祺 |
 劉傳祺","? |
 ?","京師 |
 安徽省","刑部衙門 浙江司 |
 甯國府 ?","郎中 |
 知府","? |
 ?","宛平 順天 |
 宛平 順天",,"1860.75 |
 1861.25",2036640,0.08,0.2787693717665874
"曹濤 |
 曹濤","? |
 ?","江南省 |
 江蘇省","太倉直隸州 嘉定縣 |
 太倉州 嘉定縣","典史 |
 典史","監生 |
 監生","大興 順天 |
 貴池 安徽",,"1856.0 |
 1856.25",1017066,0.8,0.5004024235361879
"周鼐 |
 周鼎","? |
 ?","福建省 |
 福建省","按察司衙門 ? |
 按察司衙門 ?","漳浦南場大使 |
 照磨","監生 |
 監生","? ? |
 臨桂 廣西",,"1859.5 |
 1859.75",1391738,0.72,0.5929533174454745
